"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 12:27:57 PM EST","10","3","-80","30","1","15","32","-88","-30","56","-52","72","27","Male","Master's degree"
"2019/01/10 12:28:05 PM EST","6","8","-83","20","2","15","20","-18","-15","56","60","302","18","female","High school/Secondary school/GED"
"2019/01/10 12:28:43 PM EST","3","3","-70","50","1","8","20","-80","-50","30","-40","300","61","Male","PhD or other advanced professional degree"
"2019/01/10 12:28:46 PM EST","6","5","-88","50","1","15","50","-85","30","58","-51","320","30","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:30:41 PM EST","9","2","-73","30","1","15","30","-70","-36","56","-50","330","35","m","PhD or other advanced professional degree"
"2019/01/10 12:31:42 PM EST","8","6","-88","80","1","12","25","-78","-51","56","-51","302","21","Male","High school/Secondary school/GED"
"2019/01/10 12:32:47 PM EST","7","5","-88","30","1","16","32","-60","-30","58","-42","330","37","male","PhD or other advanced professional degree"
"2019/01/10 12:33:03 PM EST","8","7","-80","300","1","10","50","-80","25","50","-10","-30","31","Non-binary","4-year college degree (Bachelor's)"
"2019/01/10 12:33:30 PM EST","7","5","25","15","1","15","35","-87","10","55","15","50","18","","High school/Secondary school/GED"
"2019/01/10 12:33:42 PM EST","9","8","-88","50","1","15","15","-40","-20","55","-40","302","61","Male","Master's degree"
"2019/01/10 12:33:47 PM EST","9","7","-86","25","1","15","25","-86","-35","56","-50","302","16","","High school/Secondary school/GED"
"2019/01/10 12:36:07 PM EST","6","4","-88","50","1","20","32","-70","-20","56","-86","302","24","Man","Master's degree"
"2019/01/10 12:37:57 PM EST","10","2","-70","50","1","3","5","-30","-3","50","-70","80","57","M","Master's degree"
"2019/01/10 12:38:42 PM EST","8","5","-80","50","1","25","32","-84","-15","59","-55","302","32","Male","Master's degree"
"2019/01/10 12:39:48 PM EST","9","7","-60","38","1","20","29","-84","37","54","-35","302","21","Female","4-year college degree (Bachelor's)"
"2019/01/10 12:40:22 PM EST","3","7","-80","20","4","16","24","-88","-23","56","-51","325","","","Master's degree"
"2019/01/10 12:41:30 PM EST","8","7","-80","30","1","15","15","-80","-80","75","-51","300","20","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:42:01 PM EST","8","8","-88","86","1","15","3","-86","-36","56","-56","86","35","male","Master's degree"
"2019/01/10 12:45:24 PM EST","6","8","-80","30","1","30","20","-90","-30","56","-30","301","20","Male","High school/Secondary school/GED"
"2019/01/10 12:45:31 PM EST","5","4","-91","50","1","15","25","-84","-33","56","-52","302","47","Male","2-year college degree (Associate's)"
"2019/01/10 12:45:41 PM EST","7","8","-70","30","1","30","10","-70","-70","56","-70","300","30","Male","PhD or other advanced professional degree"
"2019/01/10 12:47:04 PM EST","8","4","-90","44","1","15","33","-88","-33","58","+20","233","46","m","High school/Secondary school/GED"
"2019/01/10 12:47:52 PM EST","7","6","-88","82","1","15","32","-77","-25","56","-55","333","49","m","2-year college degree (Associate's)"
"2019/01/10 12:48:17 PM EST","8","3","-65","302","20","20","32","-80","25","60","-80","302","64","Female","4-year college degree (Bachelor's)"
"2019/01/10 12:50:34 PM EST","7","4","-60","25","1","15","22","-60","-25","66","-50","300","28","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:51:21 PM EST","7","7","-50","0","1","15","32","-80","-25","65","-50","-25","42","Female","4-year college degree (Bachelor's)"
"2019/01/10 12:51:59 PM EST","8","6","-66","15","5","15","20","-88","-50","60","-30","25","48","Female","Master's degree"
"2019/01/10 12:54:10 PM EST","7","8","-88","24","1","15","54","-80","-60","49","-70","84","","","2-year college degree (Associate's)"
"2019/01/10 12:54:57 PM EST","4","5","-84","20","1","11","32","-84","-30","50","-11","300","29","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:55:02 PM EST","7","7","-88","80","1","20","60","-88","25","33","50","80","47","Female","PhD or other advanced professional degree"
"2019/01/10 1:00:06 PM EST","8","4","-88","302","1","15","50","-80","-33","56","-30","150","20","Male","2-year college degree (Associate's)"
"2019/01/10 1:00:09 PM EST","7","3","-80","50","1","15","32","-88","-88","56","-51","300","23","Man","Master's degree"
"2019/01/10 1:00:16 PM EST","7","2","-88","40","1","15","32","-60","-33","56","-50","302","38","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:00:22 PM EST","7","3","-86","23","1","12","34","-84","-25","56","-32","302","","","4-year college degree (Bachelor's)"
"2019/01/10 1:01:38 PM EST","8","7","-50","30","1","30","50","-30","-50","51","-50","300","20","Man","High school/Secondary school/GED"
"2019/01/10 1:03:54 PM EST","4","6","-50","50","1","15","32","-84","-88","56","-10","302","","","2-year college degree (Associate's)"
"2019/01/10 1:07:14 PM EST","7","5","-91","26","1","13","32","49","-31","56","-87","302","23","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:09:17 PM EST","10","6","-80","30","1","15","33","-83","-30","53","-50","-20","32","male","4-year college degree (Bachelor's)"
"2019/01/10 1:13:25 PM EST","6","6","-70","16","1","15","30","-80","55","55","-33","40","18","male","High school/Secondary school/GED"
"2019/01/10 1:14:20 PM EST","8","8","-70","60","1","20","30","-60","-50","50","-50","300","25","male","Master's degree"
"2019/01/10 1:15:30 PM EST","7","9","-80","-30","20","10","15","-60","-25","55","-15","300","18","M","None / Don't know / Rather not say"
"2019/01/10 1:18:05 PM EST","7","3","-88","302","1","15","56","-88","-38","","-9","-88","53","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:18:29 PM EST","7","5","-88","30","1","15","32","-88","-47","51","-51","320","42","female","Master's degree"
"2019/01/10 1:21:08 PM EST","8","6","-88","25","1","17","32","-88","-33","56","-71","302","25","Female","4-year college degree (Bachelor's)"
"2019/01/10 1:22:13 PM EST","8","4","-30","-33","1","56","30","-84","30","40","-20","302","18","Male-ish??","High school/Secondary school/GED"
"2019/01/10 1:22:35 PM EST","10","6","10","10","1","15","32","-80","-30","56","-50","302","22","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:22:50 PM EST","8","7","-50","25","1","15","25","-85","-33","55.8","-20","302","29","Male","Master's degree"
"2019/01/10 1:22:56 PM EST","8","5","-35","-50","1","15","15","35","-15","56","-35","302","43","Male","Master's degree"
"2019/01/10 1:24:17 PM EST","9","6","-88","25","1","15","32","-80","-50","56","-50","35","29","male","4-year college degree (Bachelor's)"
"2019/01/10 1:28:24 PM EST","4","7","-80","30","1","30","32","-60","-60","56","-50","300","22","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:31:47 PM EST","6","8","-20","-25","1","33","60","-82","-41","61","-30","300","22","F","High school/Secondary school/GED"
"2019/01/10 1:33:48 PM EST","7","9","-30","33","1","13","1","-20","-30","65","-55","330","30","","Master's degree"
"2019/01/10 1:37:08 PM EST","6","3","-88","33","1","15","34","-84","-20","55","-51","33","36","male","PhD or other advanced professional degree"
"2019/01/10 1:38:16 PM EST","4","6","-88","56","1","15","32","-86","-33","38","-15","300","23","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:40:09 PM EST","7","4","-60","25","1","15","32","90","-25","50","-15","300","48","Male","PhD or other advanced professional degree"
"2019/01/10 1:41:02 PM EST","9","4","-60","90","1","3","32","-88","-55","70","-55","302","22","m","High school/Secondary school/GED"
"2019/01/10 1:41:17 PM EST","8","6","-88","49","1","15","32","-78","-40","56","49","69","25","Boy","Master's degree"
"2019/01/10 1:45:25 PM EST","3","7","-300","30","1","13","32","-80","-60","56","-70","40","29","female","Master's degree"
"2019/01/10 1:45:30 PM EST","7","6","-80","45","1","15","25","-80","-50","54","-50","302","32","Male","Master's degree"
"2019/01/10 1:45:42 PM EST","6","7","-90","30","1","15","25","-95","-25","42","-60","60","32","male","Master's degree"
"2019/01/10 1:47:05 PM EST","9","3","-88","40","1","15","34","-80","-50","53","-50","308","27","male","4-year college degree (Bachelor's)"
"2019/01/10 1:49:30 PM EST","10","3","-88","+16","1","15","32","-84","-26","56","-51","+302","27","male","PhD or other advanced professional degree"
"2019/01/10 1:53:12 PM EST","5","7","-80","33","1","15","30","-80","-33","54","-50","300","34","male","4-year college degree (Bachelor's)"
"2019/01/10 1:53:25 PM EST","6","6","0","300","1","22","24","-86","-33","50","-50","300","41","Female ","Master's degree"
"2019/01/10 1:54:58 PM EST","9","7","-88","86","1","15","32","-87","-33","56","-56","304","39","male","4-year college degree (Bachelor's)"
"2019/01/10 1:56:12 PM EST","10","6","88","80","1","17","30","-88","-30","20","-30","230","29","female","PhD or other advanced professional degree"
"2019/01/10 1:57:00 PM EST","7","6","-80","24","1","15","30","-84","-25","55","-20","302","26","Male","PhD or other advanced professional degree"
"2019/01/10 1:57:28 PM EST","7","10","-50","50","1","30","40","-80","30","55","-50","302","39","Male","PhD or other advanced professional degree"
"2019/01/10 1:58:25 PM EST","8","6","-60","20","1","15","56","-80","-15","56","-20","50","17","Male","High school/Secondary school/GED"
"2019/01/10 1:58:25 PM EST","9","7","-83","26","1","20","32.26","-83","-33","60","33","300","37","Male","PhD or other advanced professional degree"
"2019/01/10 1:59:20 PM EST","8","5","-67","50","1","15","32","-78","-33","56","-56","302","26","M","4-year college degree (Bachelor's)"
"2019/01/10 2:02:20 PM EST","9","7","-88","380","1","15","25","-800","-33","55","-56","380","55","Male","PhD or other advanced professional degree"
"2019/01/10 2:03:45 PM EST","10","7","-30","30","1","15","36","-80","-20","50","-50","300","33","Male","PhD or other advanced professional degree"
"2019/01/10 2:07:18 PM EST","7","8","-88","302","5","15","15","40","-30","54","-40","200","51","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:07:45 PM EST","8","7","-88","40","1","15","33","-85","20","55","-50","35","29","agender","4-year college degree (Bachelor's)"
"2019/01/10 2:09:04 PM EST","10","4","-56","50","1","15","32","-64","-15","56","50","302","32","Male","PhD or other advanced professional degree"
"2019/01/10 2:09:59 PM EST","9","7","-88","30","1","15","35","-85","-50","56","-50","300","28","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:14:06 PM EST","9","7","-50","-25","1","12","32","-86","-50","78","-80","302","32","F","Master's degree"
"2019/01/10 2:14:24 PM EST","10","9","-80","86","1","11","11","-120","-33","53","-60","303","31","female","Master's degree"
"2019/01/10 2:15:25 PM EST","9","3","-80","20","1","13","30","-80","-20","56","-70","380","33","male","4-year college degree (Bachelor's)"
"2019/01/10 2:20:35 PM EST","8","7","-86","200","1","15","15","-86","-20","56","-25","306","21","female","High school/Secondary school/GED"
"2019/01/10 2:22:50 PM EST","8","7","-85","30","1","16","56","-80","-50","56","-40","305","27","Male","Master's degree"
"2019/01/10 2:25:52 PM EST","9","3","-20","20","1","35","30","-70","-30","55","-40","300","26","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:26:37 PM EST","7","6","-40","60","1","20","15","-60","-30","55","-50","350","22","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:30:21 PM EST","1","4","-1.5","30","1","","20","-90","-15","51","-60","305","21","Female","4-year college degree (Bachelor's)"
"2019/01/10 2:31:11 PM EST","10","4","88","15","1","15","32","-40","-25","56","-26","250","18","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:32:04 PM EST","8","7","2","30","1","15","32","-50","20","56","-50","302","22","Male","High school/Secondary school/GED"
"2019/01/10 2:32:07 PM EST","7","8","86","35","1","10","33","-30","-33","56","85","80","38","Female","PhD or other advanced professional degree"
"2019/01/10 2:34:49 PM EST","6","7","","","","","","","","","","","","",""
"2019/01/10 2:36:02 PM EST","7","5","-20","33","1","15","15","-33","-33","52","-30","302","38","M","4-year college degree (Bachelor's)"
"2019/01/10 2:37:56 PM EST","8","8","-80","60","1","5","25","-40","-20","65","-30","300","","",""
"2019/01/10 2:40:38 PM EST","4","7","-20","300","1","15","40","-80","-88","50","-75","300","36","Male","PhD or other advanced professional degree"
"2019/01/10 2:41:26 PM EST","4","7","1","302","1","15","34","-86","-4","56","-56","6","49","female","4-year college degree (Bachelor's)"
"2019/01/10 2:41:31 PM EST","10","4","-90","+300","1","18","28","-90","20","56","-50","302","43","male","PhD or other advanced professional degree"
"2019/01/10 2:43:38 PM EST","10","10","-80","80","60","72","30","-78","-73","56","-78","302","20","F","High school/Secondary school/GED"
"2019/01/10 2:44:05 PM EST","9","7","-88","80","1","22","30","-70","-30","60","-50","300","40","M","PhD or other advanced professional degree"
"2019/01/10 2:48:51 PM EST","8","5","-88","25","1","25","32","-84","-30","56","-20","304","24","Male","Master's degree"
"2019/01/10 2:51:11 PM EST","9","8","-80","50","1","15","20","-80","30","52","-30","320","39","M","PhD or other advanced professional degree"
"2019/01/10 2:52:22 PM EST","8","7","-80","300","1","15","30","-88","-30","58","-30","300","52","Male","PhD or other advanced professional degree"
"2019/01/10 2:54:59 PM EST","8","7","-85","60","1","15","32","-88","-30","56","-50","302","16","female","Grade school/Primary school"
"2019/01/10 2:56:46 PM EST","8","4","-88","38","2","15","34","-57","-34","63","-58","321","42","Male","Master's degree"
"2019/01/10 3:02:41 PM EST","7","4","88","40","1","18","32","84","-16","56","-51","302","31","Male","Master's degree"
"2019/01/10 3:04:03 PM EST","6","7","-88","302","1","15","40","-88","-40","55","-20","302","34","Human","Master's degree"
"2019/01/10 3:06:24 PM EST","10","5","-80","30","1","15","40","-80","-30","56","-80","302","21","female","4-year college degree (Bachelor's)"
"2019/01/10 3:10:46 PM EST","9","8","-88","80","1","6","23","-76","-33","58","-34","308","45","Male","4-year college degree (Bachelor's)"
"2019/01/10 3:12:33 PM EST","9","7","57","11","1","13","54","-24","-19","54","48","302","18","Female","High school/Secondary school/GED"
"2019/01/10 3:13:56 PM EST","10","5","-85","75","1","24","34","-84","-50","50","-54","300","36","male","PhD or other advanced professional degree"
"2019/01/10 3:14:30 PM EST","3","7","-34","34","0.01","15","23","-86","-30","56","-34","250","15","Non-binary ","Grade school/Primary school"
"2019/01/10 3:16:32 PM EST","3","4","-88","32","1","5","32","-88","-33","64","-50","-10","25","male","2-year college degree (Associate's)"
"2019/01/10 3:17:32 PM EST","10","7","","","","","","","","","","","","",""
"2019/01/10 3:22:13 PM EST","8","6","-90","80","1","15","33","-84","-25","54","-51","302","30","Female","Master's degree"
"2019/01/10 3:22:48 PM EST","9","4","-88","23","1","15","32","-34","-37","58","-56","305","41","Female","Master's degree"
"2019/01/10 3:26:08 PM EST","3","6","-82","100","1","15","32","-80","-33","56","-50","302","42","","PhD or other advanced professional degree"
"2019/01/10 3:26:18 PM EST","8","6","-50","-30","1","15","25","-80","-15","55","-30","300","30","M","4-year college degree (Bachelor's)"
"2019/01/10 3:32:06 PM EST","5","7","-82","25","1","15","33","-82","12","52","-33","302","26","Male","Master's degree"
"2019/01/10 3:32:38 PM EST","7","5","-85","30","1","15","38","-80","+25","55","-50","300","43","Male","Master's degree"
"2019/01/10 3:35:53 PM EST","9","6","-33","70","1","15","1","-30","-50","56","33","302","28","male","PhD or other advanced professional degree"
"2019/01/10 3:36:49 PM EST","4","5","-88","25","2","15","40","-88","-50","60","-50","300","18","","High school/Secondary school/GED"
"2019/01/10 3:38:18 PM EST","6","7","-88","26","1","15","33","-89","2","56","-50","400","27","woman","4-year college degree (Bachelor's)"
"2019/01/10 3:47:16 PM EST","7","5","-86","30","1","15","20","-86","-10","53","-20","300","42","Male","PhD or other advanced professional degree"
"2019/01/10 3:48:43 PM EST","5","6","-86","25","1","15","32","-86","-30","56","-33","300","26","Male","Master's degree"
